quote,author,type
"Don't worry when you are not recognized, but strive to be worthy of recognition.",Abraham Lincoln,abraham-lincoln
"My great concern is not whether you have failed, but whether you are content with your failure.",Abraham Lincoln,abraham-lincoln
"As I would not be a slave, so I would not be a master. This expresses my idea of democracy.",Abraham Lincoln,abraham-lincoln
I do not think much of a man who is not wiser today than he was yesterday.,Abraham Lincoln,abraham-lincoln
"The shepherd drives the wolf from the sheep's throat, for which the sheep thanks the shepherd as his liberator, while the wolf denounces him for the same act as the destroyer of liberty. Plainly, the sheep and the wolf are not agreed upon a definition of liberty.",Abraham Lincoln,abraham-lincoln
"Those who deny freedom to others deserve it not for themselves; and under the rule of a just God, cannot long retain it.",Abraham Lincoln,abraham-lincoln
Do I not destroy my enemies when I make them my friends?,Abraham Lincoln,abraham-lincoln
No man is good enough to govern another man without the other's consent.,Abraham Lincoln,abraham-lincoln
The best way to get a bad law repealed is to enforce it strictly.,Abraham Lincoln,abraham-lincoln
A friend is one who has the same enemies as you have.,Abraham Lincoln,abraham-lincoln
You have to do your own growing no matter how tall your grandfather was.,Abraham Lincoln,abraham-lincoln
"Labor is prior to, and independent of, capital. Capital is only the fruit of labor, and could never have existed if labor had not first existed. Labor is the superior of capital, and deserves much the higher consideration.",Abraham Lincoln,abraham-lincoln
"No matter how much cats fight, there always seem to be plenty of kittens.",Abraham Lincoln,abraham-lincoln
"Every man is said to have his peculiar ambition. Whether it be true or not, I can say, for one, that I have no other so great as that of being truly esteemed of my fellow-men, by rendering myself worthy of their esteem. How far I shall succeed in gratifying this ambition is yet to be developed.",Abraham Lincoln,abraham-lincoln
"Don't interfere with anything in the Constitution. That must be maintained, for it is the only safeguard of our liberties.",Abraham Lincoln,abraham-lincoln
"He has a right to criticize, who has a heart to help.",Abraham Lincoln,abraham-lincoln
"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally.",Abraham Lincoln,abraham-lincoln
"Marriage is neither heaven nor hell, it is simply purgatory.",Abraham Lincoln,abraham-lincoln
"If this is coffee, please bring me some tea; but if this is tea, please bring me some coffee.",Abraham Lincoln,abraham-lincoln
"That some achieve great success, is proof to all that others can achieve it as well.",Abraham Lincoln,abraham-lincoln
A house divided against itself cannot stand.,Abraham Lincoln,abraham-lincoln
I remember my mother's prayers and they have always followed me. They have clung to me all my life.,Abraham Lincoln,abraham-lincoln
"If I were two-faced, would I be wearing this one?",Abraham Lincoln,abraham-lincoln
We should be too big to take offense and too noble to give it.,Abraham Lincoln,abraham-lincoln
Towering genius disdains a beaten path. It seeks regions hitherto unexplored.,Abraham Lincoln,abraham-lincoln
I like to see a man proud of the place in which he lives. I like to see a man live so that his place will be proud of him.,Abraham Lincoln,abraham-lincoln
"The dogmas of the quiet past are inadequate to the stormy present. The occasion is piled high with difficulty, and we must rise with the occasion. As our case is new, so we must think anew and act anew.",Abraham Lincoln,abraham-lincoln
Avoid popularity if you would have peace.,Abraham Lincoln,abraham-lincoln
The things I want to know are in books; my best friend is the man who'll get me a book I ain't read.,Abraham Lincoln,abraham-lincoln
"If we could first know where we are, and whither we are tending, we could then better judge what to do, and how to do it.",Abraham Lincoln,abraham-lincoln
"At what point then is the approach of danger to be expected? I answer, if it ever reach us, it must spring up amongst us. It cannot come from abroad. If destruction be our lot, we must ourselves be its author and finisher. As a nation of freemen, we must live through all time, or die by suicide.",Abraham Lincoln,abraham-lincoln
I never had a policy; I have just tried to do my very best each and every day.,Abraham Lincoln,abraham-lincoln
"Important principles may, and must, be inflexible.",Abraham Lincoln,abraham-lincoln
My dream is of a place and a time where America will once again be seen as the last best hope of earth.,Abraham Lincoln,abraham-lincoln
The probability that we may fail in the struggle ought not to deter us from the support of a cause we believe to be just.,Abraham Lincoln,abraham-lincoln
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill,winston-churchill
"If you're going through hell, keep going.",Winston Churchill,winston-churchill
"Now this is not the end. It is not even the beginning of the end. But it is, perhaps, the end of the beginning.",Winston Churchill,winston-churchill
"We make a living by what we get, but we make a life by what we give.",Winston Churchill,winston-churchill
To improve is to change; to be perfect is to change often.,Winston Churchill,winston-churchill
Attitude is a little thing that makes a big difference.,Winston Churchill,winston-churchill
Kites rise highest against the wind - not with it.,Winston Churchill,winston-churchill
The best argument against democracy is a five-minute conversation with the average voter.,Winston Churchill,winston-churchill
"You have enemies? Good. That means you've stood up for something, sometime in your life.",Winston Churchill,winston-churchill
The price of greatness is responsibility.,Winston Churchill,winston-churchill
A lie gets halfway around the world before the truth has a chance to get its pants on.,Winston Churchill,winston-churchill
"I may be drunk, Miss, but in the morning I will be sober and you will still be ugly.",Winston Churchill,winston-churchill
"We shall defend our island, whatever the cost may be, we shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender.",Winston Churchill,winston-churchill
"The truth is incontrovertible. Malice may attack it, ignorance may deride it, but in the end, there it is.",Winston Churchill,winston-churchill
Success consists of going from failure to failure without loss of enthusiasm.,Winston Churchill,winston-churchill
"Never, never, never give up.",Winston Churchill,winston-churchill
A pessimist sees the difficulty in every opportunity; an optimist sees the opportunity in every difficulty.,Winston Churchill,winston-churchill
You can always count on Americans to do the right thing - after they've tried everything else.,Winston Churchill,winston-churchill
I am fond of pigs. Dogs look up to us. Cats look down on us. Pigs treat us as equals.,Winston Churchill,winston-churchill
Courage is what it takes to stand up and speak; courage is also what it takes to sit down and listen.,Winston Churchill,winston-churchill
"Socialism is a philosophy of failure, the creed of ignorance, and the gospel of envy, its inherent virtue is the equal sharing of misery.",Winston Churchill,winston-churchill
If Hitler invaded hell I would make at least a favourable reference to the devil in the House of Commons.,Winston Churchill,winston-churchill
Russia is a riddle wrapped in a mystery inside an enigma.,Winston Churchill,winston-churchill
"All the great things are simple, and many can be expressed in a single word: freedom, justice, honor, duty, mercy, hope.",Winston Churchill,winston-churchill
"The farther backward you can look, the farther forward you can see.",Winston Churchill,winston-churchill
History will be kind to me for I intend to write it.,Winston Churchill,winston-churchill
"If we open a quarrel between past and present, we shall find that we have lost the future.",Winston Churchill,winston-churchill
I am always ready to learn although I do not always like being taught.,Winston Churchill,winston-churchill
"Victory at all costs, victory in spite of all terror, victory however long and hard the road may be; for without victory, there is no survival.",Winston Churchill,winston-churchill
"An appeaser is one who feeds a crocodile, hoping it will eat him last.",Winston Churchill,winston-churchill
I am an optimist. It does not seem too much use being anything else.,Winston Churchill,winston-churchill
"In war, you can only be killed once, but in politics, many times.",Winston Churchill,winston-churchill
History is written by the victors.,Winston Churchill,winston-churchill
"In wartime, truth is so precious that she should always be attended by a bodyguard of lies.",Winston Churchill,winston-churchill
Nothing in life is so exhilarating as to be shot at without result.,Winston Churchill,winston-churchill
"We are masters of the unsaid words, but slaves of those we let slip out.",Winston Churchill,winston-churchill
"It is no use saying, 'We are doing our best.' You have got to succeed in doing what is necessary.",Winston Churchill,winston-churchill
The pessimist sees difficulty in every opportunity. The optimist sees the opportunity in every difficulty.,Winston Churchill,winston-churchill
My most brilliant achievement was my ability to be able to persuade my wife to marry me.,Winston Churchill,winston-churchill
The inherent vice of capitalism is the unequal sharing of blessings; the inherent virtue of socialism is the equal sharing of miseries.,Winston Churchill,winston-churchill
It is a good thing for an uneducated man to read books of quotations.,Winston Churchill,winston-churchill
"If you have an important point to make, don't try to be subtle or clever. Use a pile driver. Hit the point once. Then come back and hit it again. Then hit it a third time - a tremendous whack.",Winston Churchill,winston-churchill
To jaw-jaw is always better than to war-war.,Winston Churchill,winston-churchill
This is no time for ease and comfort. It is time to dare and endure.,Winston Churchill,winston-churchill
A fanatic is one who can't change his mind and won't change the subject.,Winston Churchill,winston-churchill
We shape our buildings; thereafter they shape us.,Winston Churchill,winston-churchill
Courage is rightly esteemed the first of human qualities... because it is the quality which guarantees all others.,Winston Churchill,winston-churchill
Let our advance worrying become advance thinking and planning.,Winston Churchill,winston-churchill
To build may have to be the slow and laborious task of years. To destroy can be the thoughtless act of a single day.,Winston Churchill,winston-churchill
We have always found the Irish a bit odd. They refuse to be English.,Winston Churchill,winston-churchill
Play the game for more than you can afford to lose... only then will you learn the game.,Winston Churchill,winston-churchill
The empires of the future are the empires of the mind.,Winston Churchill,winston-churchill
Mr. Attlee is a very modest man. Indeed he has a lot to be modest about.,Winston Churchill,winston-churchill
Ending a sentence with a preposition is something up with which I will not put.,Winston Churchill,winston-churchill
I have taken more out of alcohol than alcohol has taken out of me.,Winston Churchill,winston-churchill
"One ought never to turn one's back on a threatened danger and try to run away from it. If you do that, you will double the danger. But if you meet it promptly and without flinching, you will reduce the danger by half. Never run away from anything. Never!",Winston Churchill,winston-churchill
I am prepared to meet my Maker. Whether my Maker is prepared for the great ordeal of meeting me is another matter.,Winston Churchill,winston-churchill
"This report, by its very length, defends itself against the risk of being read.",Winston Churchill,winston-churchill
It has been said that democracy is the worst form of government except all the others that have been tried.,Winston Churchill,winston-churchill
"Solitary trees, if they grow at all, grow strong.",Winston Churchill,winston-churchill
It does not matter how slowly you go as long as you do not stop.,Confucius,confucius
"Everything has beauty, but not everyone sees it.",Confucius,confucius
"Life is really simple, but we insist on making it complicated.",Confucius,confucius
I hear and I forget. I see and I remember. I do and I understand.,Confucius,confucius
"Our greatest glory is not in never falling, but in rising every time we fall.",Confucius,confucius
"To know what you know and what you do not know, that is true knowledge.",Confucius,confucius
"Wherever you go, go with all your heart.",Confucius,confucius
"By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.",Confucius,confucius
"The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence.",Confucius,confucius
Better a diamond with a flaw than a pebble without.,Confucius,confucius
"What you do not want done to yourself, do not do to others.",Confucius,confucius
Never give a sword to a man who can't dance.,Confucius,confucius
Real knowledge is to know the extent of one's ignorance.,Confucius,confucius
"When anger rises, think of the consequences.",Confucius,confucius
It is easy to hate and it is difficult to love. This is how the whole scheme of things works. All good things are difficult to achieve; and bad things are very easy to get.,Confucius,confucius
Silence is a true friend who never betrays.,Confucius,confucius
"When it is obvious that the goals cannot be reached, don't adjust the goals, adjust the action steps.",Confucius,confucius
"If you think in terms of a year, plant a seed; if in terms of ten years, plant trees; if in terms of 100 years, teach the people.",Confucius,confucius
"Success depends upon previous preparation, and without such preparation there is sure to be failure.",Confucius,confucius
Only the wisest and stupidest of men never change.,Confucius,confucius
Humility is the solid foundation of all virtues.,Confucius,confucius
"When you know a thing, to hold that you know it, and when you do not know a thing, to allow that you do not know it - this is knowledge.",Confucius,confucius
"If I am walking with two other men, each of them will serve as my teacher. I will pick out the good points of the one and imitate them, and the bad points of the other and correct them in myself.",Confucius,confucius
Do not impose on others what you yourself do not desire.,Confucius,confucius
"In a country well governed, poverty is something to be ashamed of. In a country badly governed, wealth is something to be ashamed of.",Confucius,confucius
"He who learns but does not think, is lost! He who thinks but does not learn is in great danger.",Confucius,confucius
"The more man meditates upon good thoughts, the better will be his world and the world at large.",Confucius,confucius
The cautious seldom err.,Confucius,confucius
"Old age, believe me, is a good and pleasant thing. It is true you are gently shouldered off the stage, but then you are given such a comfortable front stall as spectator.",Confucius,confucius
"To see what is right and not to do it is want of courage, or of principle.",Confucius,confucius
You cannot open a book without learning something.,Confucius,confucius
The strength of a nation derives from the integrity of the home.,Confucius,confucius
A gentleman would be ashamed should his deeds not match his words.,Confucius,confucius
Heaven means to be one with God.,Confucius,confucius
"I hear, I know. I see, I remember. I do, I understand.",Confucius,confucius
"A youth, when at home, should be filial and, abroad, respectful to his elders. He should be earnest and truthful. He should overflow in love to all and cultivate the friendship of the good. When he has time and opportunity, after the performance of these things, he should employ them in polite studies.",Confucius,confucius
"If we don't know life, how can we know death?",Confucius,confucius
He who speaks without modesty will find it difficult to make his words good.,Confucius,confucius
Never contract friendship with a man that is not better than thyself.,Confucius,confucius
To see the right and not to do it is cowardice.,Confucius,confucius
"Without feelings of respect, what is there to distinguish men from beasts?",Confucius,confucius
"They must often change, who would be constant in happiness or wisdom.",Confucius,confucius
"Study the past, if you would divine the future.",Confucius,confucius
"We should feel sorrow, but not sink under its oppression.",Confucius,confucius
To be wronged is nothing unless you continue to remember it.,Confucius,confucius
"A superior man is modest in his speech, but exceeds in his actions.",Confucius,confucius
"Faced with what is right, to leave it undone shows a lack of courage.",Confucius,confucius
An oppressive government is more to be feared than a tiger.,Confucius,confucius
The expectations of life depend upon diligence; the mechanic that would perfect his work must first sharpen his tools.,Confucius,confucius
The superior man understands what is right; the inferior man understands what will sell.,Confucius,confucius
It is more shameful to distrust our friends than to be deceived by them.,Confucius,confucius
"If you look into your own heart, and you find nothing wrong there, what is there to worry about? What is there to fear?",Confucius,confucius
"The superior man acts before he speaks, and afterwards speaks according to his action.",Confucius,confucius
Virtue is not left to stand alone. He who practices it will have neighbors.,Confucius,confucius
"Wisdom, compassion, and courage are the three universally recognized moral qualities of men.",Confucius,confucius
"To practice five things under all circumstances constitutes perfect virtue; these five are gravity, generosity of soul, sincerity, earnestness, and kindness.",Confucius,confucius
The superior man thinks always of virtue; the common man thinks of comfort.,Confucius,confucius
Death and life have their determined appointments; riches and honors depend upon heaven.,Confucius,confucius
The superior man is distressed by the limitations of his ability; he is not distressed by the fact that men do not recognize the ability that he has.,Confucius,confucius
To see and listen to the wicked is already the beginning of wickedness.,Confucius,confucius
Out of suffering have emerged the strongest souls; the most massive characters are seared with scars.,Khalil Gibran,khalil-gibran
"In the sweetness of friendship let there be laughter, and sharing of pleasures. For in the dew of little things the heart finds its morning and is refreshed.",Khalil Gibran,khalil-gibran
Forget not that the earth delights to feel your bare feet and the winds long to play with your hair.,Khalil Gibran,khalil-gibran
Life without love is like a tree without blossoms or fruit.,Khalil Gibran,khalil-gibran
"Trust in dreams, for in them is hidden the gate to eternity.",Khalil Gibran,khalil-gibran
"I have learned silence from the talkative, toleration from the intolerant, and kindness from the unkind; yet, strange, I am ungrateful to those teachers.",Khalil Gibran,khalil-gibran
Your living is determined not so much by what life brings to you as by the attitude you bring to life; not so much by what happens to you as by the way your mind looks at what happens.,Khalil Gibran,khalil-gibran
We choose our joys and sorrows long before we experience them.,Khalil Gibran,khalil-gibran
"Friendship is always a sweet responsibility, never an opportunity.",Khalil Gibran,khalil-gibran
"Yesterday is but today's memory, and tomorrow is today's dream.",Khalil Gibran,khalil-gibran
Your children are not your children. They are the sons and daughters of Life's longing for itself. They came through you but not from you and though they are with you yet they belong not to you.,Khalil Gibran,khalil-gibran
"If you love somebody, let them go, for if they return, they were always yours. And if they don't, they never were.",Khalil Gibran,khalil-gibran
But let there be spaces in your togetherness and let the winds of the heavens dance between you. Love one another but make not a bond of love: let it rather be a moving sea between the shores of your souls.,Khalil Gibran,khalil-gibran
The teacher who is indeed wise does not bid you to enter the house of his wisdom but rather leads you to the threshold of your mind.,Khalil Gibran,khalil-gibran
And ever has it been known that love knows not its own depth until the hour of separation.,Khalil Gibran,khalil-gibran
Life without liberty is like a body without spirit.,Khalil Gibran,khalil-gibran
Your pain is the breaking of the shell that encloses your understanding.,Khalil Gibran,khalil-gibran
"If you reveal your secrets to the wind, you should not blame the wind for revealing them to the trees.",Khalil Gibran,khalil-gibran
"If your heart is a volcano, how shall you expect flowers to bloom?",Khalil Gibran,khalil-gibran
"Keep me away from the wisdom which does not cry, the philosophy which does not laugh and the greatness which does not bow before children.",Khalil Gibran,khalil-gibran
Faith is an oasis in the heart which will never be reached by the caravan of thinking.,Khalil Gibran,khalil-gibran
"March on. Do not tarry. To go forward is to move toward perfection. March on, and fear not the thorns, or the sharp stones on life's path.",Khalil Gibran,khalil-gibran
"When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.",Khalil Gibran,khalil-gibran
"Generosity is giving more than you can, and pride is taking less than you need.",Khalil Gibran,khalil-gibran
"Progress lies not in enhancing what is, but in advancing toward what will be.",Khalil Gibran,khalil-gibran
Perplexity is the beginning of knowledge.,Khalil Gibran,khalil-gibran
"There are those who give with joy, and that joy is their reward.",Khalil Gibran,khalil-gibran
"Yesterday we obeyed kings and bent our necks before emperors. But today we kneel only to truth, follow only beauty, and obey only love.",Khalil Gibran,khalil-gibran
A little knowledge that acts is worth infinitely more than much knowledge that is idle.,Khalil Gibran,khalil-gibran
"For life and death are one, even as the river and the sea are one.",Khalil Gibran,khalil-gibran
You are the bows from which your children as living arrows are sent forth.,Khalil Gibran,khalil-gibran
Sadness is but a wall between two gardens.,Khalil Gibran,khalil-gibran
Your daily life is your temple and your religion. When you enter into it take with you your all.,Khalil Gibran,khalil-gibran
"To be able to look back upon ones life in satisfaction, is to live twice.",Khalil Gibran,khalil-gibran
"If in the twilight of memory we should meet once more, we shall speak again together and you shall sing to me a deeper song.",Khalil Gibran,khalil-gibran
"Faith is a knowledge within the heart, beyond the reach of proof.",Khalil Gibran,khalil-gibran
"When you are joyous, look deep into your heart and you shall find it is only that which has given you sorrow that is giving you joy. When you are sorrowful look again in your heart, and you shall see that in truth you are weeping for that which has been your delight.",Khalil Gibran,khalil-gibran
"To understand the heart and mind of a person, look not at what he has already achieved, but at what he aspires to.",Khalil Gibran,khalil-gibran
Let there be no purpose in friendship save the deepening of the spirit.,Khalil Gibran,khalil-gibran
"Work is love made visible. And if you cannot work with love but only with distaste, it is better that you should leave your work and sit at the gate of the temple and take alms of those who work with joy.",Khalil Gibran,khalil-gibran
"The lust for comfort, that stealthy thing that enters the house a guest, and then becomes a host, and then a master.",Khalil Gibran,khalil-gibran
Love is trembling happiness.,Khalil Gibran,khalil-gibran
Safeguarding the rights of others is the most noble and beautiful end of a human being.,Khalil Gibran,khalil-gibran
"Poetry is a deal of joy and pain and wonder, with a dash of the dictionary.",Khalil Gibran,khalil-gibran
"I love you when you bow in your mosque, kneel in your temple, pray in your church. For you and I are sons of one religion, and it is the spirit.",Khalil Gibran,khalil-gibran
A friend who is far away is sometimes much nearer than one who is at hand. Is not the mountain far more awe-inspiring and more clearly visible to one passing through the valley than to those who inhabit the mountain?,Khalil Gibran,khalil-gibran
"Only when you drink from the river of silence shall you indeed sing. And when you have reached the mountain top, then you shall begin to climb. And when the earth shall claim your limbs, then shall you truly dance.",Khalil Gibran,khalil-gibran
"Wisdom ceases to be wisdom when it becomes too proud to weep, too grave to laugh, and too selfish to seek other than itself.",Khalil Gibran,khalil-gibran
"Love one another, but make not a bond of love: Let it rather be a moving sea between the shores of your souls.",Khalil Gibran,khalil-gibran
"The eye of a human being is a microscope, which makes the world seem bigger than it really is.",Khalil Gibran,khalil-gibran
Beauty is eternity gazing at itself in a mirror.,Khalil Gibran,khalil-gibran
Ever has it been that love knows not its own depth until the hour of separation.,Khalil Gibran,khalil-gibran
"Knowledge of the self is the mother of all knowledge. So it is incumbent on me to know my self, to know it completely, to know its minutiae, its characteristics, its subtleties, and its very atoms.",Khalil Gibran,khalil-gibran
Truth is a deep kindness that teaches us to be content in our everyday life and share with the people the same happiness.,Khalil Gibran,khalil-gibran
"Love possesses not nor will it be possessed, for love is sufficient unto love.",Khalil Gibran,khalil-gibran
Doubt is a pain too lonely to know that faith is his twin brother.,Khalil Gibran,khalil-gibran
"I prefer to be a dreamer among the humblest, with visions to be realized, than lord among those without dreams and desires.",Khalil Gibran,khalil-gibran
The most pitiful among men is he who turns his dreams into silver and gold.,Khalil Gibran,khalil-gibran
"Time has been transformed, and we have changed; it has advanced and set us in motion; it has unveiled its face, inspiring us with bewilderment and exhilaration.",Khalil Gibran,khalil-gibran
"Are you a politician asking what your country can do for you or a zealous one asking what you can do for your country? If you are the first, then you are a parasite; if the second, then you are an oasis in the desert.",Khalil Gibran,khalil-gibran
A value is valuable when the value of value is valuable to oneself.,Dayananda Saraswati,dayananda-saraswati
The greatest musical instrument given to a human being is the voice.,Dayananda Saraswati,dayananda-saraswati
"Though music transcends language, culture and time, and though notes are the same, Indian music is unique because it is evolved, sophisticated and melodies are defined.",Dayananda Saraswati,dayananda-saraswati
The tongue should express what is in the heart.,Dayananda Saraswati,dayananda-saraswati
"Prayer in any form is efficacious because it is an action. It will, therefore, have a result. That is the law of this universe in which we find ourselves.",Dayananda Saraswati,dayananda-saraswati
"The soul is one in its nature, but its entities are many.",Dayananda Saraswati,dayananda-saraswati
What is crucial in dealing with loss is not to lose the lesson. That makes you a winner in the most profound sense.,Dayananda Saraswati,dayananda-saraswati
"No human heart is denied empathy. No religion can demolish that by indoctrination. No culture, no nation and nationalism - nothing can touch it because it is empathy.",Dayananda Saraswati,dayananda-saraswati
God has neither form nor color. He is incorporeal and immense. Whatever is seen in the world describes his greatness.,Dayananda Saraswati,dayananda-saraswati
Innocent pleasures are got by virtue and well-earned wealth.,Dayananda Saraswati,dayananda-saraswati
"He is good and wise who always speaks the truth, acts on the dictates of virtue, and tries to make others good and happy.",Dayananda Saraswati,dayananda-saraswati
"Wealth is a thing, earned with honesty and justice. Its opposite is the Mammon of unrighteousness.",Dayananda Saraswati,dayananda-saraswati
"The fitness of the pupil is shown in his love for the acquisition of knowledge, his willingness to receive instruction, his reverence for learned and virtuous men, his attendance upon the teacher, and his execution of orders.",Dayananda Saraswati,dayananda-saraswati
"In life, loss is inevitable. Everyone knows this, yet in the core of most people it remains deeply denied - 'This should not happen to me.' It is for this reason that loss is the most difficult challenge one has to face as a human being.",Dayananda Saraswati,dayananda-saraswati
People should try to know God and imitate him in their works. Repetitions and ceremonials are of no use.,Dayananda Saraswati,dayananda-saraswati
"Because a human being is endowed with empathy, he violates the natural order if he does not reach out to those who need care. Responding to this empathy, one is in harmony with the order of things, with dharma; otherwise, one is not.",Dayananda Saraswati,dayananda-saraswati
"Beneficience removes evils, introduces the practice of virtue, and adds to general welfare and civilization.",Dayananda Saraswati,dayananda-saraswati
"I love to follow truth; nay, I have made it my duty to persuade others to act on truth and abjure falsehood for the sake of their own good. So, the eradication of iniquities is the object of my life.",Dayananda Saraswati,dayananda-saraswati
The works of present life are more important that the whole and entire reliance on wholesale blind fate.,Dayananda Saraswati,dayananda-saraswati
"Salvation is the state of emancipation from the endurance of pain and subjection to birth and death, and of the life of liberty and happiness in the immensity of God.",Dayananda Saraswati,dayananda-saraswati
People should never worship images. The spread of mental darkness is due to the prevalence of idolatry.,Dayananda Saraswati,dayananda-saraswati
"Lyric helps invoke the core person. And, without lyric, it is difficult to touch the core. Lyrical music is the music of India.",Dayananda Saraswati,dayananda-saraswati
"God is absolutely holy and wise. His nature, attributes, and power are all holy. He is omnipresent, incorporeal, unborn, immense, omniscient, omnipotent, merciful and just. He is the maker, protector, and destroyer of worlds.",Dayananda Saraswati,dayananda-saraswati
"The commendable conduct of man is shown by his discriminate treatment of merits and sympathetic regard for pleasure and pain, profit and loss of others. The contrary course is reprehensible.",Dayananda Saraswati,dayananda-saraswati
It is proper to take photographs or other kinds of pictures of persons to put them before us for sight or remembrance. But it is improper to make pictures and images of God and to take his likenesses therefrom to his great distortion.,Dayananda Saraswati,dayananda-saraswati
Whoever does not miss the Soviet Union has no heart. Whoever wants it back has no brain.,Vladimir Putin,vladimir-putin
Sometimes it is necessary to be lonely in order to prove that you are right.,Vladimir Putin,vladimir-putin
Nobody and nothing will stop Russia on the road to strengthening democracy and ensuring human rights and freedoms.,Vladimir Putin,vladimir-putin
"We need business to understand its social responsibility, that the main task and objective for a business is not to generate extra income and to become rich and transfer the money abroad, but to look and evaluate what a businessman has done for the country, for the people, on whose account he or she has become so rich.",Vladimir Putin,vladimir-putin
Those who fight corruption should be clean themselves.,Vladimir Putin,vladimir-putin
"I am the wealthiest man, not just in Europe, but in the whole world. I collect emotions. I am wealthy in that the people of Russia have twice entrusted me with the leadership of a great nation such as Russia - I believe that is my greatest wealth.",Vladimir Putin,vladimir-putin
"We are all different, but when we ask for the Lord's blessings, we must not forget that God created us equal.",Vladimir Putin,vladimir-putin
Anyone who doesn't regret the passing of the Soviet Union has no heart. Anyone who wants it restored has no brains.,Vladimir Putin,vladimir-putin
I don't read books by people who have betrayed the Motherland.,Vladimir Putin,vladimir-putin
"The United Nations' founders understood that decisions affecting war and peace should happen only by consensus, and with America's consent, the veto by Security Council permanent members was enshrined in the United Nations Charter. The profound wisdom of this has underpinned the stability of international relations for decades.",Vladimir Putin,vladimir-putin
Nobody should pin their hopes on a miracle.,Vladimir Putin,vladimir-putin
I have a private life in which I do not permit interference. It must be respected.,Vladimir Putin,vladimir-putin
My English is very bad.,Vladimir Putin,vladimir-putin
Everything will probably never be OK. But we have to try for it.,Vladimir Putin,vladimir-putin
"You must obey the law, always, not only when they grab you by your special place.",Vladimir Putin,vladimir-putin
"It is extremely dangerous to encourage people to see themselves as exceptional, whatever the motivation.",Vladimir Putin,vladimir-putin
"The task of the government is not only to pour honey into a cup, but sometimes to give bitter medicine.",Vladimir Putin,vladimir-putin
Terrorism has no nationality or religion.,Vladimir Putin,vladimir-putin
"The point of conservatism is not that it prevents movement forward and upward, but that it prevents movement backward and downward, into chaotic darkness and a return to a primitive state.",Vladimir Putin,vladimir-putin
"NATO was built to counteract the Soviet Union in its day and time. At this point there is no threat coming from the Soviet Union, because there is no Soviet Union anymore. And where there was the Soviet Union once, there is now a number of countries, among them the new and democratic Russia.",Vladimir Putin,vladimir-putin
Stalin is the most popular figure in all of Russia.,Vladimir Putin,vladimir-putin
"We shall fight against them, throw them in prisons and destroy them.",Vladimir Putin,vladimir-putin
I think happiness is love.,Vladimir Putin,vladimir-putin
Nobody should have any illusion about the possibility of gaining military superiority over Russia. We will never allow this to happen.,Vladimir Putin,vladimir-putin
"Russia is a part of European culture. Therefore, it is with difficulty that I imagine NATO as an enemy.",Vladimir Putin,vladimir-putin
"If you want my personal attitude, I would tell you that I don't care about a person's sexual orientation.",Vladimir Putin,vladimir-putin
The ability to compromise is not a diplomatic politeness toward a partner but rather taking into account and respecting your partner's legitimate interests.,Vladimir Putin,vladimir-putin
"I go to the gym, I swim daily and from time to time I meet with friends and do extra-curricular stuff.",Vladimir Putin,vladimir-putin
Europeans are really dying out!,Vladimir Putin,vladimir-putin
There are both things in international law: the principle of territorial integrity and right to self-determination.,Vladimir Putin,vladimir-putin
"You can swim any way you like in the Dead Sea, actually.",Vladimir Putin,vladimir-putin
"We need to use the United Nations Security Council and believe that preserving law and order in today's complex and turbulent world is one of the few ways to keep international relations from sliding into chaos. The law is still the law, and we must follow it whether we like it or not.",Vladimir Putin,vladimir-putin
"At last, Russia has returned to the world arena as a strong state - a country that others heed and that can stand up for itself.",Vladimir Putin,vladimir-putin
"History proves that all dictatorships, all authoritarian forms of government are transient. Only democratic systems are not transient. Whatever the shortcomings, mankind has not devised anything superior.",Vladimir Putin,vladimir-putin
"Our society, including the liberals, must understand that there must be order.",Vladimir Putin,vladimir-putin
"I think every person should have some faith inside him, in his heart. What matters is not an external display of this faith, but the inner state of the soul.",Vladimir Putin,vladimir-putin
"Russian democracy is the power of the Russian people with their own traditions of national self-government, and not the realisation of standards foisted on us from outside.",Vladimir Putin,vladimir-putin
"China is a great country with a great culture, populated by fascinating, industrious and talented people.",Vladimir Putin,vladimir-putin
Thieves must sit in prison.,Vladimir Putin,vladimir-putin
We must stop using the language of force and return to the path of civilized diplomatic and political settlement.,Vladimir Putin,vladimir-putin
What is a Rechtsstaat? It is obedience to the existing law.,Vladimir Putin,vladimir-putin
"In the modern world, those who are weak will get unambiguous advice from foreign visitors which way to go and what policy course to pursue.",Vladimir Putin,vladimir-putin
"We should not just consume hydrocarbon fuel but use it to develop nuclear energy, hydro power and renewable energy sources.",Vladimir Putin,vladimir-putin
"One can truly enjoy his or her life only while experiencing it, and it is inevitably related to a certain level of risk.",Vladimir Putin,vladimir-putin
I am never guided by a possible assessment of my work.,Vladimir Putin,vladimir-putin
My notion of the KGB came from romantic spy stories. I was a pure and utterly successful product of Soviet patriotic education.,Vladimir Putin,vladimir-putin
